Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S84556354,Sora,Porzana carolina,5398,1,US-CA,Santa Clara,L694875,Emily Renzel Wetlands,37.4425693,-122.1150649,2021-04-01,08:00 AM,eBird - Traveling Count,60,1,2.414,,2
S71058521,Common Gallinule,Gallinula galeata,5411,1,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-07-02,08:00 AM,eBird - Traveling Count,90,1,4.828,,2
S88011724,Common Gallinule,Gallinula galeata,5411,2,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-05-13,08:00 AM,eBird - Traveling Count,120,1,3.219,,2
S71847836,Common Gallinule,Gallinula galeata,5411,8,US-CA,Santa Clara,L694875,Emily Renzel Wetlands,37.4425693,-122.1150649,2020-07-23,08:00 AM,eBird - Traveling Count,75,1,1.609,,2
S84556354,Common Gallinule,Gallinula galeata,5411,4,US-CA,Santa Clara,L694875,Emily Renzel Wetlands,37.4425693,-122.1150649,2021-04-01,08:00 AM,eBird - Traveling Count,60,1,2.414,,2
S63820961,Common Gallinule,Gallinula galeata,5411,3,US-CA,Santa Clara,L868971,Sunnyvale WPCP--Lockheed Ponds and Marsh adjacent to Yahoo,37.4215375,-122.0243955,2020-01-26,08:00 AM,eBird - Traveling Count,180,1,6.437,,10
S56773388,Common Gallinule,Gallinula galeata,5411,2,US-CA,Santa Clara,L773892,Ulistac Natural Area,37.4057129,-121.9552374,2019-05-26,08:00 AM,eBird - Traveling Count,180,1,4.828,,25,,,"Santa Clara Valley Audubon Society field trip led by Chris Johnson: outer loop via levee, followed by inner loop on trails."
S108254891,American Coot,Fulica americana,5443,30,US-MN,Dakota,L303740,180th St. Marsh (Marshall's Marsh),44.68822,-92.9659032,2022-04-27,09:30 AM,eBird - Stationary Count,60,1,,,2,,,"The group mistook a lone sandhill crane at the west end of the west set of ponds for the white-faced ibis, of which there were actually two and they were in the north side of the east (2nd) set of ponds."
S135135415,American Coot,Fulica americana,5443,2,US-MN,Dakota,L303740,180th St. Marsh (Marshall's Marsh),44.68822,-92.9659032,2023-04-26,11:00 AM,eBird - Traveling Count,60,1,1.609,,2
S95861905,American Coot,Fulica americana,5443,250,US-MN,Hennepin,L298015,Old Cedar Ave. Bridge,44.8306236,-93.2436534,2021-10-09,11:00 AM,eBird - Traveling Count,75,1,3.219,,2,,,Most sightings out on the bridge; the boardwalk was overgrown so high you couldn't see the river.
S107345080,American Coot,Fulica americana,5443,10,US-MN,Hennepin,L298015,Old Cedar Ave. Bridge,44.8306236,-93.2436534,2022-04-17,02:00 PM,eBird - Traveling Count,60,1,1.609,,2
S53352418,American Coot,Fulica americana,5443,50,US-CA,San Mateo,L247966,Coyote Point County Park,37.5899626,-122.3215145,2019-03-02,08:44 AM,eBird - Traveling Count,261,1,2.575,,5
S63366120,American Coot,Fulica americana,5443,100,US-CA,San Mateo,L247966,Coyote Point County Park,37.5899626,-122.3215145,2020-01-12,12:00 PM,eBird - Traveling Count,180,1,8.047,,1,,,"Halfway to Seal Point, then back and out on the jetty and all around Coyote Point park."
S82749174,American Coot,Fulica americana,5443,24,US-CA,San Mateo,L469365,Ravenswood OSP and Cooley Landing Park,37.4753484,-122.1263655,2021-03-04,08:00 AM,eBird - Traveling Count,100,1,5.633,,1
S77101175,American Coot,Fulica americana,5443,X,US-CA,Santa Clara,L6530472,Adobe Creek--north of US-101,37.43515,-122.102342,2020-12-03,09:29 AM,eBird - Stationary Count,8,1,,,2,,,"Standing on Adobe Creek Loop Trail slightly north of levee between outer and inner Charleston Slough, at 37.448192, -122.091033.  Saw eagle first on an island in the creek and then watched as it flew around in the area, scaring ducks and coots. and eventually the pelicans."
S54687679,American Coot,Fulica americana,5443,100,US-CA,Santa Clara,L8999016,Bay Trail - Shoreline Lake,37.4353701,-122.0952026,2019-04-06,08:00 AM,eBird - Traveling Count,180,1,4.828,,7,,,"From the Shoreline Lake boathouse out to the Bay Trail, north to join Santa Clara Valley Audubon Society Big Sit (separate list), then back around the west side of the lake between golf course and playing fields."
S49328123,American Coot,Fulica americana,5443,8,US-CA,Santa Clara,L8051027,Campbell Park,37.286102,-121.939639,2018-10-20,02:00 PM,eBird - Traveling Count,90,1,3.219,,2,,,Down to San Tomas (1 mile) and back (1 mile) on the trail on north side of the creek.
S154519594,American Coot,Fulica americana,5443,1,US-CA,Santa Clara,L4309025,Central Park,37.3427558,-121.975193,2023-11-15,09:00 AM,eBird - Traveling Count,120,1,8.047,,1
S49817537,American Coot,Fulica americana,5443,100,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2018-11-09,10:30 AM,eBird - Traveling Count,120,1,3.219,,1
S50529881,American Coot,Fulica americana,5443,200,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2018-12-08,09:00 AM,eBird - Traveling Count,150,1,4.828,,30,,,SCVAS outing at Charleston Slough.
S51936195,American Coot,Fulica americana,5443,400,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-01-19,04:30 PM,eBird - Traveling Count,120,1,3.219,,1
S51936581,American Coot,Fulica americana,5443,300,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-01-20,03:30 PM,eBird - Traveling Count,150,1,6.437,,1
S52321486,American Coot,Fulica americana,5443,100,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-02-02,03:00 PM,eBird - Traveling Count,120,1,3.219,,1,,,Up and then north of Adobe Creek is where the white-tailed kites were active.
S52540731,American Coot,Fulica americana,5443,50,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-02-03,02:00 PM,eBird - Traveling Count,90,1,3.219,,1,,,"Out on the slough, then switched back NW across Adobe Creek and NW along 101."
S56206730,American Coot,Fulica americana,5443,2,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-05-12,09:00 AM,eBird - Traveling Count,120,1,4.828,,30
S63409860,American Coot,Fulica americana,5443,60,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-01-14,03:00 PM,eBird - Traveling Count,150,1,4.023,,1
S65632601,American Coot,Fulica americana,5443,150,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-03-08,03:30 PM,eBird - Traveling Count,90,1,4.023,,1
S68453585,American Coot,Fulica americana,5443,4,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-05-05,08:00 AM,eBird - Traveling Count,120,1,3.219,,2
S70320984,American Coot,Fulica americana,5443,4,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-06-11,08:00 AM,eBird - Traveling Count,60,1,3.219,,2
S73713262,American Coot,Fulica americana,5443,2,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-09-17,08:00 AM,eBird - Traveling Count,120,1,3.219,,2
S74571620,American Coot,Fulica americana,5443,60,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-10-08,08:00 AM,eBird - Traveling Count,90,1,3.219,,1
S75236066,American Coot,Fulica americana,5443,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-10-22,08:00 AM,eBird - Traveling Count,90,1,3.219,,2
S75876913,American Coot,Fulica americana,5443,100,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-11-05,08:00 AM,eBird - Traveling Count,90,1,4.023,,2
S77025553,American Coot,Fulica americana,5443,200,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-12-03,08:00 AM,eBird - Traveling Count,120,1,5.633,,2
S77604826,American Coot,Fulica americana,5443,400,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-12-16,09:00 AM,eBird - Traveling Count,60,1,3.219,,1
S83677016,American Coot,Fulica americana,5443,48,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-03-18,08:00 AM,eBird - Traveling Count,75,1,2.414,,2
S85661736,American Coot,Fulica americana,5443,400,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-04-15,08:00 AM,eBird - Traveling Count,120,1,5.633,,2
S88011724,American Coot,Fulica americana,5443,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-05-13,08:00 AM,eBird - Traveling Count,120,1,3.219,,2
S89056031,American Coot,Fulica americana,5443,8,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-05-26,08:00 AM,eBird - Traveling Count,180,1,4.426,,2
S150773078,American Coot,Fulica americana,5443,4,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2023-09-24,08:30 AM,eBird - Traveling Count,120,1,8.047,,1
S63526834,American Coot,Fulica americana,5443,40,US-CA,Santa Clara,L868491,Debell Uvas Creek Preserve,37.003478,-121.5958428,2020-01-18,08:00 AM,eBird - Traveling Count,240,1,6.437,,8
S84556354,American Coot,Fulica americana,5443,36,US-CA,Santa Clara,L694875,Emily Renzel Wetlands,37.4425693,-122.1150649,2021-04-01,08:00 AM,eBird - Traveling Count,60,1,2.414,,2
S54187624,American Coot,Fulica americana,5443,20,US-CA,Santa Clara,L279253,Lake Cunningham,37.3354711,-121.8062038,2019-03-24,09:00 AM,eBird - Traveling Count,180,1,3.219,,30,,,"Led jointly for Openspace, Santa Clara Valley chapter of the California Native Plant Society, and Santa Clara Valley Audubon Society."
S60033690,American Coot,Fulica americana,5443,4,US-CA,Santa Clara,L279253,Lake Cunningham,37.3354711,-121.8062038,2019-09-21,09:00 AM,eBird - Traveling Count,180,1,6.437,,25
S69516748,American Coot,Fulica americana,5443,1,US-CA,Santa Clara,L279253,Lake Cunningham,37.3354711,-121.8062038,2020-05-23,08:00 AM,eBird - Traveling Count,60,1,3.219,,1
S51072142,American Coot,Fulica americana,5443,10,US-CA,Santa Clara,L199667,Los Alamitos Creek Trail--Almaden Lake Park,37.2381022,-121.8708828,2018-12-29,09:30 AM,eBird - Traveling Count,150,1,3.219,,8,,,"Christmas bird count, part 2"
S53922444,American Coot,Fulica americana,5443,8,US-CA,Santa Clara,L199667,Los Alamitos Creek Trail--Almaden Lake Park,37.2381022,-121.8708828,2019-03-16,08:03 AM,eBird - Traveling Count,183,1,1.915,,12
S49360269,American Coot,Fulica americana,5443,80,US-CA,Santa Clara,L8055622,Los Gatos Creek County Park,37.2945257,-121.9657572,2018-10-21,03:30 PM,eBird - Traveling Count,150,1,4.828,,1
S49506138,American Coot,Fulica americana,5443,80,US-CA,Santa Clara,L8055622,Los Gatos Creek County Park,37.2945257,-121.9657572,2018-10-27,08:00 AM,eBird - Traveling Count,210,1,3.219,,20,,,Santa Clara Valley Audubon Society outing
S64917012,American Coot,Fulica americana,5443,50,US-CA,Santa Clara,L8055622,Los Gatos Creek County Park,37.2945257,-121.9657572,2020-02-23,10:00 AM,eBird - Traveling Count,120,1,6.437,,1,,,Up to Vasona Reservoir and back.
S50194870,American Coot,Fulica americana,5443,200,US-CA,Santa Clara,L295710,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,2018-11-24,02:00 PM,eBird - Traveling Count,180,1,3.219,,1
S50355018,American Coot,Fulica americana,5443,60,US-CA,Santa Clara,L295710,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,2018-12-01,11:00 AM,eBird - Traveling Count,60,1,1.609,,1
S53076672,American Coot,Fulica americana,5443,50,US-CA,Santa Clara,L295710,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,2019-02-23,02:30 PM,eBird - Traveling Count,150,1,9.656,,1
S142704082,American Coot,Fulica americana,5443,2,US-CA,Santa Clara,L295710,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,2023-06-25,09:00 AM,eBird - Traveling Count,120,1,9.656,,1
S151203164,American Coot,Fulica americana,5443,16,US-CA,Santa Clara,L295710,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,2023-10-01,09:30 AM,eBird - Traveling Count,180,1,12.07,,1,,,Stacks in Campbell to Oka Ponds far end and back.
S148481603,American Coot,Fulica americana,5443,2,US-CA,Santa Clara,L1148142,Los Gatos Creek Trail--north of Camden Ave.,37.2736533,-121.9474697,2023-08-27,09:00 AM,eBird - Traveling Count,120,1,9.656,,1
S78843835,American Coot,Fulica americana,5443,48,US-CA,Santa Clara,L954210,Mayfield Slough,37.450843,-122.1023512,2021-01-07,08:00 AM,eBird - Traveling Count,90,1,4.023,,2
S79658389,American Coot,Fulica americana,5443,24,US-CA,Santa Clara,L954210,Mayfield Slough,37.450843,-122.1023512,2021-01-21,08:00 AM,eBird - Traveling Count,100,1,4.828,,2
S80425793,American Coot,Fulica americana,5443,24,US-CA,Santa Clara,L954210,Mayfield Slough,37.450843,-122.1023512,2021-02-04,08:30 AM,eBird - Traveling Count,90,1,4.828,,2
S81912259,American Coot,Fulica americana,5443,200,US-CA,Santa Clara,L954210,Mayfield Slough,37.450843,-122.1023512,2021-02-18,08:00 AM,eBird - Traveling Count,140,1,8.047,,2
S69823178,American Coot,Fulica americana,5443,2,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2020-05-28,07:58 AM,eBird - Traveling Count,168,1,1.609,,2,,,Saw the Ridgway's Rail!
S69763442,American Coot,Fulica americana,5443,3,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2020-05-28,08:00 AM,eBird - Traveling Count,150,1,3.219,,2
S76413934,American Coot,Fulica americana,5443,50,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2020-11-19,08:00 AM,eBird - Traveling Count,120,1,2.414,,2
S51072140,American Coot,Fulica americana,5443,6,US-CA,Santa Clara,L279302,Santa Clara Valley Water District,37.2480176,-121.8728828,2018-12-29,07:00 AM,eBird - Traveling Count,150,1,1.609,,7,,,"Christmas bird count group, first half"
S54027421,American Coot,Fulica americana,5443,20,US-CA,Santa Clara,L1139143,St. Joseph's Hill OSP,37.2027826,-121.9828749,2019-03-19,12:00 PM,eBird - Traveling Count,180,1,9.656,,1,,,From Priest Road Trailhead down along Los Gatos Creek Trail to Oka Ponds Bridge and back.
S50436443,American Coot,Fulica americana,5443,100,US-CA,Santa Clara,L419997,Stevens Creek Trail--north of US-101,37.4216539,-122.0688885,2018-12-04,11:00 AM,eBird - Traveling Count,120,1,4.023,,1
S50459450,American Coot,Fulica americana,5443,6,US-CA,Santa Clara,L419997,Stevens Creek Trail--north of US-101,37.4216539,-122.0688885,2018-12-05,12:00 PM,eBird - Traveling Count,60,1,1.609,,4
S156120401,American Coot,Fulica americana,5443,200,US-CA,Santa Clara,L279204,Sunnyvale WPCP (please use a more specific hotspot where possible),37.4198391,-122.0144261,2023-12-10,09:30 AM,eBird - Traveling Count,90,1,6.437,,1,,,"Out to the radar station and then back along the inner channel north to the 1st bridge. Most sightings in the inner pond area, which does not have a designation on ebird."
S63820961,American Coot,Fulica americana,5443,500,US-CA,Santa Clara,L868971,Sunnyvale WPCP--Lockheed Ponds and Marsh adjacent to Yahoo,37.4215375,-122.0243955,2020-01-26,08:00 AM,eBird - Traveling Count,180,1,6.437,,10
S145444246,American Coot,Fulica americana,5443,3,US-CA,Santa Clara,L868971,Sunnyvale WPCP--Lockheed Ponds and Marsh adjacent to Yahoo,37.4215375,-122.0243955,2023-07-23,09:00 AM,eBird - Traveling Count,60,1,4.828,,1
S63821331,American Coot,Fulica americana,5443,1,US-CA,Santa Clara,L773892,Ulistac Natural Area,37.4057129,-121.9552374,2020-01-25,01:00 PM,eBird - Traveling Count,90,1,5.633,,1
S82648996,American Coot,Fulica americana,5443,1,US-CA,Santa Clara,L773892,Ulistac Natural Area,37.4057129,-121.9552374,2021-03-02,12:30 PM,eBird - Traveling Count,75,1,4.023,,1
S53039520,American Coot,Fulica americana,5443,20,US-CA,Santa Clara,L210223,Vasona Lake County Park,37.2385116,-121.9709873,2019-02-22,02:30 PM,eBird - Traveling Count,150,1,4.828,,1
S154383018,American Coot,Fulica americana,5443,6,US-CA,Santa Clara,L210223,Vasona Lake County Park,37.2385116,-121.9709873,2023-11-12,02:00 PM,eBird - Traveling Count,150,1,9.656,,1,,,Both sides of the lake.
S50139427,American Coot,Fulica americana,5443,12,US-CA,Santa Cruz,L264648,Neary Lagoon,36.9632874,-122.0303111,2018-11-20,03:00 PM,eBird - Traveling Count,60,1,1.609,,1
S50139169,American Coot,Fulica americana,5443,10,US-CA,Santa Cruz,L8173485,Schwann Lagoon,36.9618163,-121.9988127,2018-11-20,01:00 PM,eBird - Stationary Count,30,1,,,1
S50879181,American Coot,Fulica americana,5443,150,US-OR,Washington,L498314,Tualatin River NWR--Atfálat'i Unit,45.3817834,-122.8312254,2018-12-22,01:30 PM,eBird - Traveling Count,150,1,3.219,,1
S53922549,American Coot,Fulica americana,5443,40,US-OR,Washington,L498314,Tualatin River NWR--Atfálat'i Unit,45.3817834,-122.8312254,2019-03-11,04:00 PM,eBird - Traveling Count,120,1,3.219,,1
S108254891,Sandhill Crane,Antigone canadensis,5643,1,US-MN,Dakota,L303740,180th St. Marsh (Marshall's Marsh),44.68822,-92.9659032,2022-04-27,09:30 AM,eBird - Stationary Count,60,1,,,2,,,"The group mistook a lone sandhill crane at the west end of the west set of ponds for the white-faced ibis, of which there were actually two and they were in the north side of the east (2nd) set of ponds."
S114361663,Sandhill Crane,Antigone canadensis,5643,2,US-MN,Dakota,L303740,180th St. Marsh (Marshall's Marsh),44.68822,-92.9659032,2022-07-03,07:00 PM,eBird - Stationary Count,60,1,,,2
S49063572,Black-necked Stilt,Himantopus mexicanus,5713,60,US-CA,Santa Clara,L296043,Alviso Marina County Park (please use a specific pond hotspot where possible),37.4298703,-121.9793612,2018-10-07,12:00 PM,eBird - Traveling Count,60,1,.402,,1
S54687679,Black-necked Stilt,Himantopus mexicanus,5713,10,US-CA,Santa Clara,L8999016,Bay Trail - Shoreline Lake,37.4353701,-122.0952026,2019-04-06,08:00 AM,eBird - Traveling Count,180,1,4.828,,7,,,"From the Shoreline Lake boathouse out to the Bay Trail, north to join Santa Clara Valley Audubon Society Big Sit (separate list), then back around the west side of the lake between golf course and playing fields."
S49817537,Black-necked Stilt,Himantopus mexicanus,5713,2,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2018-11-09,10:30 AM,eBird - Traveling Count,120,1,3.219,,1
S50529881,Black-necked Stilt,Himantopus mexicanus,5713,10,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2018-12-08,09:00 AM,eBird - Traveling Count,150,1,4.828,,30,,,SCVAS outing at Charleston Slough.
S51936581,Black-necked Stilt,Himantopus mexicanus,5713,50,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-01-20,03:30 PM,eBird - Traveling Count,150,1,6.437,,1
S52321486,Black-necked Stilt,Himantopus mexicanus,5713,40,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-02-02,03:00 PM,eBird - Traveling Count,120,1,3.219,,1,,,Up and then north of Adobe Creek is where the white-tailed kites were active.
S52540731,Black-necked Stilt,Himantopus mexicanus,5713,10,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-02-03,02:00 PM,eBird - Traveling Count,90,1,3.219,,1,,,"Out on the slough, then switched back NW across Adobe Creek and NW along 101."
S54688115,Black-necked Stilt,Himantopus mexicanus,5713,10,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-04-07,09:00 AM,eBird - Traveling Count,120,1,1.609,,10,,,Most with the Santa Clara Valley Society photography group.
S56206730,Black-necked Stilt,Himantopus mexicanus,5713,6,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-05-12,09:00 AM,eBird - Traveling Count,120,1,4.828,,30
S63409860,Black-necked Stilt,Himantopus mexicanus,5713,40,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-01-14,03:00 PM,eBird - Traveling Count,150,1,4.023,,1
S65632601,Black-necked Stilt,Himantopus mexicanus,5713,100,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-03-08,03:30 PM,eBird - Traveling Count,90,1,4.023,,1
S68453585,Black-necked Stilt,Himantopus mexicanus,5713,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-05-05,08:00 AM,eBird - Traveling Count,120,1,3.219,,2
S70320984,Black-necked Stilt,Himantopus mexicanus,5713,100,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-06-11,08:00 AM,eBird - Traveling Count,60,1,3.219,,2
S70613225,Black-necked Stilt,Himantopus mexicanus,5713,30,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-06-18,08:00 AM,eBird - Traveling Count,90,1,3.219,,1
S71058521,Black-necked Stilt,Himantopus mexicanus,5713,70,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-07-02,08:00 AM,eBird - Traveling Count,90,1,4.828,,2
S72379830,Black-necked Stilt,Himantopus mexicanus,5713,200,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-08-13,08:00 AM,eBird - Traveling Count,75,1,3.219,,2
S73713262,Black-necked Stilt,Himantopus mexicanus,5713,40,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-09-17,08:00 AM,eBird - Traveling Count,120,1,3.219,,2
S74571620,Black-necked Stilt,Himantopus mexicanus,5713,80,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-10-08,08:00 AM,eBird - Traveling Count,90,1,3.219,,1
S75236066,Black-necked Stilt,Himantopus mexicanus,5713,36,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-10-22,08:00 AM,eBird - Traveling Count,90,1,3.219,,2
S75876913,Black-necked Stilt,Himantopus mexicanus,5713,60,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-11-05,08:00 AM,eBird - Traveling Count,90,1,4.023,,2
S77025553,Black-necked Stilt,Himantopus mexicanus,5713,80,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-12-03,08:00 AM,eBird - Traveling Count,120,1,5.633,,2
S77604826,Black-necked Stilt,Himantopus mexicanus,5713,200,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-12-16,09:00 AM,eBird - Traveling Count,60,1,3.219,,1
S77925517,Black-necked Stilt,Himantopus mexicanus,5713,100,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-12-24,08:00 AM,eBird - Traveling Count,75,1,4.023,,1
S83677016,Black-necked Stilt,Himantopus mexicanus,5713,10,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-03-18,08:00 AM,eBird - Traveling Count,75,1,2.414,,2
S85661736,Black-necked Stilt,Himantopus mexicanus,5713,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-04-15,08:00 AM,eBird - Traveling Count,120,1,5.633,,2
S88011724,Black-necked Stilt,Himantopus mexicanus,5713,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-05-13,08:00 AM,eBird - Traveling Count,120,1,3.219,,2
S89056031,Black-necked Stilt,Himantopus mexicanus,5713,48,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-05-26,08:00 AM,eBird - Traveling Count,180,1,4.426,,2
S89956531,Black-necked Stilt,Himantopus mexicanus,5713,100,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-06-10,08:00 AM,eBird - Traveling Count,120,1,6.035,,2
S150773078,Black-necked Stilt,Himantopus mexicanus,5713,20,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2023-09-24,08:30 AM,eBird - Traveling Count,120,1,8.047,,1
S84556354,Black-necked Stilt,Himantopus mexicanus,5713,2,US-CA,Santa Clara,L694875,Emily Renzel Wetlands,37.4425693,-122.1150649,2021-04-01,08:00 AM,eBird - Traveling Count,60,1,2.414,,2
S58923725,Black-necked Stilt,Himantopus mexicanus,5713,40,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2019-08-11,09:00 AM,eBird - Traveling Count,120,1,4.023,,30,,,Santa Clara Valley Audubon Society outing led by Alan Royer.
S76413934,Black-necked Stilt,Himantopus mexicanus,5713,36,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2020-11-19,08:00 AM,eBird - Traveling Count,120,1,2.414,,2
S86681843,Black-necked Stilt,Himantopus mexicanus,5713,4,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2021-04-29,08:00 AM,eBird - Traveling Count,195,1,4.023,,2
S144763870,Black-necked Stilt,Himantopus mexicanus,5713,6,US-CA,Santa Clara,L279204,Sunnyvale WPCP (please use a more specific hotspot where possible),37.4198391,-122.0144261,2023-07-16,08:30 AM,eBird - Traveling Count,60,1,8.047,,1,,,Out past the radar station along Moffett Channel maybe 2 miles.
S156120401,Black-necked Stilt,Himantopus mexicanus,5713,40,US-CA,Santa Clara,L279204,Sunnyvale WPCP (please use a more specific hotspot where possible),37.4198391,-122.0144261,2023-12-10,09:30 AM,eBird - Traveling Count,90,1,6.437,,1,,,"Out to the radar station and then back along the inner channel north to the 1st bridge. Most sightings in the inner pond area, which does not have a designation on ebird."
S63820961,Black-necked Stilt,Himantopus mexicanus,5713,20,US-CA,Santa Clara,L868971,Sunnyvale WPCP--Lockheed Ponds and Marsh adjacent to Yahoo,37.4215375,-122.0243955,2020-01-26,08:00 AM,eBird - Traveling Count,180,1,6.437,,10
S145444246,Black-necked Stilt,Himantopus mexicanus,5713,10,US-CA,Santa Clara,L868971,Sunnyvale WPCP--Lockheed Ponds and Marsh adjacent to Yahoo,37.4215375,-122.0243955,2023-07-23,09:00 AM,eBird - Traveling Count,60,1,4.828,,1
S59251054,American Avocet,Recurvirostra americana,5723,6,US-CA,Humboldt,L189487,Arcata Marsh and Wildlife Sanctuary,40.857361,-124.094612,2019-08-22,03:00 PM,eBird - Traveling Count,120,1,4.023,,1,,,Interpretive Center &gt; around Klopp Lake &gt; around Arcata Marsh
