Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S110047759,Canada Goose,Branta canadensis,330,6,US-MN,Ramsey,L19041059,Crosby Farm Regional Park (East),44.908577,-93.146309,2022-05-14,09:00 AM,eBird - Traveling Count,90,1,1.609,,2
S109017949,Canada Goose,Branta canadensis,330,4,US-MN,Ramsey,L18859719,Crosby Farm Regional Park (West),44.899118,-93.160833,2022-05-05,09:00 AM,eBird - Traveling Count,90,1,2.414,,2,,,Around the Upper Lake.
S94933300,Canada Goose,Branta canadensis,330,10,US-MN,Ramsey,L16427715,Hanska Lake,45.065835,-93.1183922,2021-09-18,03:00 PM,eBird - Traveling Count,120,1,6.437,,4
S107651218,Canada Goose,Branta canadensis,330,4,US-MN,Ramsey,L208442,Lake Como,44.979462,-93.1406307,2022-04-21,11:30 AM,eBird - Traveling Count,90,1,3.219,,1,,,"Side trip over to the golf course, plus there's a trail along the water's edge on the east side of the lake."
S53352418,Canada Goose,Branta canadensis,330,10,US-CA,San Mateo,L247966,Coyote Point County Park,37.5899626,-122.3215145,2019-03-02,08:44 AM,eBird - Traveling Count,261,1,2.575,,5
S63366120,Canada Goose,Branta canadensis,330,80,US-CA,San Mateo,L247966,Coyote Point County Park,37.5899626,-122.3215145,2020-01-12,12:00 PM,eBird - Traveling Count,180,1,8.047,,1,,,"Halfway to Seal Point, then back and out on the jetty and all around Coyote Point park."
S82749174,Canada Goose,Branta canadensis,330,6,US-CA,San Mateo,L469365,Ravenswood OSP and Cooley Landing Park,37.4753484,-122.1263655,2021-03-04,08:00 AM,eBird - Traveling Count,100,1,5.633,,1
S54687679,Canada Goose,Branta canadensis,330,20,US-CA,Santa Clara,L8999016,Bay Trail - Shoreline Lake,37.4353701,-122.0952026,2019-04-06,08:00 AM,eBird - Traveling Count,180,1,4.828,,7,,,"From the Shoreline Lake boathouse out to the Bay Trail, north to join Santa Clara Valley Audubon Society Big Sit (separate list), then back around the west side of the lake between golf course and playing fields."
S58607194,Canada Goose,Branta canadensis,330,11,US-CA,Santa Clara,L8051027,Campbell Park,37.286102,-121.939639,2019-07-31,06:30 PM,eBird - Traveling Count,60,1,4.023,,1,,,Campbell Park on south side of Los Gatos Creek west to the dam and back on the east side (birds all seen on the east side).
S67971846,Canada Goose,Branta canadensis,330,50,US-CA,Santa Clara,L4309025,Central Park,37.3427558,-121.975193,2020-04-28,07:30 AM,eBird - Traveling Count,90,1,4.023,,1
